Year,Month,Day,Tokyo
2022,7,26,31
2022,7,27,28
2022,7,28,28
2022,7,29,27
2022,7,30,29
2022,7,31,28
2022,8,1,27
2022,8,2,27
2022,8,3,28
2022,8,4,27
2022,8,5,31
2022,8,6,34
2022,8,7,28
2022,8,8,32
2022,8,9,29
2022,8,10,28
2022,8,11,27
2022,8,12,27
2022,8,13,27
2022,8,14,28
2022,8,15,33
2022,8,16,34
2022,8,17,33
2022,8,18,31
2022,8,19,30
2022,8,20,31
2022,8,21,29
2022,8,22,27
2022,8,23,31
2022,8,24,30
2022,8,25,34
2022,8,26,28
2022,8,27,34
2022,8,28,29
2022,8,29,27
2022,8,30,27
2022,8,31,32
2022,9,1,29
2022,9,2,25
2022,9,3,26
2022,9,4,30
2022,9,5,25
2022,9,6,26
2022,9,7,26
2022,9,8,30
2022,9,9,28
2022,9,10,28
2022,9,11,26
2022,9,12,28
2022,9,13,25
2022,9,14,28
2022,9,15,29
2022,9,16,29
2022,9,17,30
2022,9,18,28
2022,9,19,27
2022,9,20,29
2022,9,21,28
2022,9,22,25
2022,9,23,30
2022,9,24,28
2022,9,25,28
2022,9,26,26
2022,9,27,27
2022,9,28,28
2022,9,29,26
2022,9,30,30
2022,10,1,20
2022,10,2,19
2022,10,3,20
2022,10,4,21
2022,10,5,22
2022,10,6,21
2022,10,7,21
2022,10,8,21
2022,10,9,17
2022,10,10,20
2022,10,11,18
2022,10,12,18
2022,10,13,21
2022,10,14,18
2022,10,15,21
2022,10,16,21
2022,10,17,20
2022,10,18,19
2022,10,19,22
2022,10,20,21
2022,10,21,20
2022,10,22,22
2022,10,23,21
2022,10,24,21
2022,10,25,22
2022,10,26,22
2022,10,27,20
2022,10,28,21
2022,10,29,18
2022,10,30,22
2022,10,31,21
2022,11,1,16
2022,11,2,16
2022,11,3,14
2022,11,4,15
2022,11,5,12
2022,11,6,16
2022,11,7,15
2022,11,8,16
2022,11,9,14
2022,11,10,12
2022,11,11,14
2022,11,12,13
2022,11,13,15
2022,11,14,14
2022,11,15,15
2022,11,16,12
2022,11,17,15
2022,11,18,14
2022,11,19,12
2022,11,20,15
2022,11,21,16
2022,11,22,14
2022,11,23,15
2022,11,24,14
2022,11,25,14
2022,11,26,12
2022,11,27,12
2022,11,28,15
2022,11,29,14
2022,11,30,15
2022,12,1,7
2022,12,2,5
2022,12,3,7
2022,12,4,9
2022,12,5,8
2022,12,6,9
2022,12,7,11
2022,12,8,8
2022,12,9,11
2022,12,10,7
2022,12,11,7
2022,12,12,7
2022,12,13,8
2022,12,14,9
2022,12,15,9
2022,12,16,7
2022,12,17,7
2022,12,18,7
2022,12,19,6
2022,12,20,6
2022,12,21,11
2022,12,22,5
2022,12,23,7
2022,12,24,10
2022,12,25,11
2022,12,26,8
2022,12,27,8
2022,12,28,7
2022,12,29,7
2022,12,30,9
2022,12,31,11
2023,1,1,6
2023,1,2,5
2023,1,3,4
2023,1,4,5
2023,1,5,6
2023,1,6,6
2023,1,7,5
2023,1,8,4
2023,1,9,3
2023,1,10,4
2023,1,11,6
2023,1,12,2
2023,1,13,2
2023,1,14,5
2023,1,15,4
2023,1,16,3
2023,1,17,5
2023,1,18,4
2023,1,19,5
2023,1,20,2
2023,1,21,6
2023,1,22,5
2023,1,23,4
2023,1,24,4
2023,1,25,5
2023,1,26,2
2023,1,27,6
2023,1,28,3
2023,1,29,3
2023,1,30,6
2023,1,31,4
2023,2,1,5
2023,2,2,7
2023,2,3,7
2023,2,4,5
2023,2,5,8
2023,2,6,7
2023,2,7,6
2023,2,8,5
2023,2,9,7
2023,2,10,5
2023,2,11,8
2023,2,12,9
2023,2,13,5
2023,2,14,9
2023,2,15,7
2023,2,16,6
2023,2,17,6
2023,2,18,7
2023,2,19,7
2023,2,20,8
2023,2,21,5
2023,2,22,7
2023,2,23,8
2023,2,24,7
2023,2,25,6
2023,2,26,7
2023,2,27,7
2023,2,28,7
2023,3,1,14
2023,3,2,13
2023,3,3,13
2023,3,4,13
2023,3,5,11
2023,3,6,12
2023,3,7,12
2023,3,8,15
2023,3,9,11
2023,3,10,11
2023,3,11,15
2023,3,12,11
2023,3,13,11
2023,3,14,12
2023,3,15,13
2023,3,16,11
2023,3,17,12
2023,3,18,13
2023,3,19,12
2023,3,20,14
2023,3,21,12
2023,3,22,10
2023,3,23,15
2023,3,24,10
2023,3,25,11
2023,3,26,10
2023,3,27,11
2023,3,28,13
2023,3,29,13
2023,3,30,12
2023,3,31,12
2023,4,1,15
2023,4,2,15
2023,4,3,16
2023,4,4,16
2023,4,5,18
2023,4,6,18
2023,4,7,16
2023,4,8,16
2023,4,9,15
2023,4,10,18
2023,4,11,16
2023,4,12,15
2023,4,13,18
2023,4,14,18
2023,4,15,18
2023,4,16,14
2023,4,17,17
2023,4,18,15
2023,4,19,14
2023,4,20,17
2023,4,21,14
2023,4,22,16
2023,4,23,16
2023,4,24,17
2023,4,25,14
2023,4,26,16
2023,4,27,17
2023,4,28,15
2023,4,29,18
2023,4,30,14
2023,5,1,18
2023,5,2,17
2023,5,3,18
2023,5,4,22
2023,5,5,18
2023,5,6,19
2023,5,7,19
2023,5,8,20
2023,5,9,22
2023,5,10,19
2023,5,11,22
2023,5,12,17
2023,5,13,19
2023,5,14,20
2023,5,15,22
2023,5,16,20
2023,5,17,19
2023,5,18,20
2023,5,19,18
2023,5,20,21
2023,5,21,18
2023,5,22,19
2023,5,23,18
2023,5,24,21
2023,5,25,17
2023,5,26,20
2023,5,27,17
2023,5,28,18
2023,5,29,19
2023,5,30,22
2023,5,31,17
2023,6,1,26
2023,6,2,26
2023,6,3,22
2023,6,4,25
2023,6,5,25
2023,6,6,24
2023,6,7,25
2023,6,8,24
2023,6,9,26
2023,6,10,24
2023,6,11,26
2023,6,12,25
2023,6,13,25
2023,6,14,22
2023,6,15,26
2023,6,16,23
2023,6,17,25
2023,6,18,23
2023,6,19,22
2023,6,20,22
2023,6,21,22
2023,6,22,22
2023,6,23,23
2023,6,24,25
2023,6,25,23
2023,6,26,22
2023,6,27,24
2023,6,28,24
2023,6,29,26
2023,6,30,26
2023,7,1,25
2023,7,2,30
2023,7,3,27
2023,7,4,29
2023,7,5,27
2023,7,6,25
2023,7,7,31
2023,7,8,27
2023,7,9,26
2023,7,10,29
2023,7,11,28
2023,7,12,28
2023,7,13,30
2023,7,14,26
2023,7,15,30
2023,7,16,30
2023,7,17,31
2023,7,18,27
2023,7,19,30
2023,7,20,31
2023,7,21,29
2023,7,22,28
2023,7,23,27
2023,7,24,28
2023,7,25,29
2023,7,26,27
2023,7,27,30
2023,7,28,27
2023,7,29,30
2023,7,30,30
2023,7,31,31
2023,8,1,28
2023,8,2,34
2023,8,3,29
2023,8,4,31
2023,8,5,33
2023,8,6,27
2023,8,7,34
2023,8,8,33
2023,8,9,27
2023,8,10,34
2023,8,11,33
2023,8,12,28
2023,8,13,27
2023,8,14,28
2023,8,15,31
2023,8,16,29
2023,8,17,28
2023,8,18,28
2023,8,19,34
2023,8,20,29
2023,8,21,27
2023,8,22,34
2023,8,23,27
2023,8,24,31
2023,8,25,29
2023,8,26,27
2023,8,27,30
2023,8,28,29
2023,8,29,34
2023,8,30,34
2023,8,31,32
2023,9,1,29
2023,9,2,28
2023,9,3,25
2023,9,4,30
2023,9,5,26
2023,9,6,30
2023,9,7,27
2023,9,8,28
2023,9,9,30
2023,9,10,25
2023,9,11,29
2023,9,12,28
2023,9,13,30
2023,9,14,30
2023,9,15,30
2023,9,16,28
2023,9,17,25
2023,9,18,26
2023,9,19,26
2023,9,20,28
2023,9,21,25
2023,9,22,25
2023,9,23,30
2023,9,24,25
2023,9,25,27
2023,9,26,29
2023,9,27,27
2023,9,28,29
2023,9,29,29
2023,9,30,29
2023,10,1,18
2023,10,2,19
2023,10,3,18
2023,10,4,20
2023,10,5,19
2023,10,6,20
2023,10,7,19
2023,10,8,19
2023,10,9,17
2023,10,10,17
2023,10,11,19
2023,10,12,19
2023,10,13,22
2023,10,14,20
2023,10,15,17
2023,10,16,19
2023,10,17,20
2023,10,18,22
2023,10,19,17
2023,10,20,21
2023,10,21,22
2023,10,22,19
2023,10,23,20
2023,10,24,19
2023,10,25,18
2023,10,26,20
2023,10,27,22
2023,10,28,17
2023,10,29,20
2023,10,30,19
2023,10,31,20
2023,11,1,14
2023,11,2,15
2023,11,3,12
2023,11,4,15
2023,11,5,13
2023,11,6,12
2023,11,7,16
2023,11,8,16
2023,11,9,16
2023,11,10,13
2023,11,11,16
2023,11,12,12
2023,11,13,14
2023,11,14,12
2023,11,15,15
2023,11,16,13
2023,11,17,15
2023,11,18,13
2023,11,19,13
2023,11,20,13
2023,11,21,16
2023,11,22,12
2023,11,23,16
2023,11,24,12
2023,11,25,13
2023,11,26,13
2023,11,27,16
2023,11,28,13
2023,11,29,12
2023,11,30,12
2023,12,1,9
2023,12,2,10
2023,12,3,7
2023,12,4,10
2023,12,5,7
2023,12,6,7
2023,12,7,5
2023,12,8,7
2023,12,9,7
2023,12,10,5
2023,12,11,7
2023,12,12,7
2023,12,13,11
2023,12,14,11
2023,12,15,10
2023,12,16,6
2023,12,17,7
2023,12,18,9
2023,12,19,7
2023,12,20,5
2023,12,21,8
2023,12,22,9
2023,12,23,9
2023,12,24,5
2023,12,25,10
2023,12,26,10
2023,12,27,9
2023,12,28,6
2023,12,29,11
2023,12,30,9
2023,12,31,10
2024,1,1,4
2024,1,2,5
2024,1,3,6
2024,1,4,6
2024,1,5,6
2024,1,6,3
2024,1,7,5
2024,1,8,5
2024,1,9,6
2024,1,10,3
2024,1,11,3
2024,1,12,6
2024,1,13,5
2024,1,14,3
2024,1,15,6
2024,1,16,4
2024,1,17,5
2024,1,18,6
2024,1,19,6
2024,1,20,2
2024,1,21,4
2024,1,22,3
2024,1,23,6
2024,1,24,3
2024,1,25,6
2024,1,26,6
2024,1,27,4
2024,1,28,5
2024,1,29,5
2024,1,30,5
2024,1,31,2
2024,2,1,9
2024,2,2,6
2024,2,3,8
2024,2,4,9
2024,2,5,5
2024,2,6,9
2024,2,7,5
2024,2,8,7
2024,2,9,5
2024,2,10,8
2024,2,11,5
2024,2,12,6
2024,2,13,8
2024,2,14,6
2024,2,15,8
2024,2,16,5
2024,2,17,7
2024,2,18,6
2024,2,19,6
2024,2,20,9
2024,2,21,6
2024,2,22,8
2024,2,23,8
2024,2,24,6
2024,2,25,9
2024,2,26,8
2024,2,27,8
2024,2,28,8
2024,3,1,13
2024,3,2,13
2024,3,3,11
2024,3,4,10
2024,3,5,11
2024,3,6,10
2024,3,7,13
2024,3,8,15
2024,3,9,13
2024,3,10,13
2024,3,11,11
2024,3,12,14
2024,3,13,14
2024,3,14,14
2024,3,15,12
2024,3,16,12
2024,3,17,13
2024,3,18,15
2024,3,19,15
2024,3,20,13
2024,3,21,12
2024,3,22,14
2024,3,23,15
2024,3,24,15
2024,3,25,13
2024,3,26,11
2024,3,27,12
2024,3,28,10
2024,3,29,10
2024,3,30,11
2024,3,31,14
2024,4,1,14
2024,4,2,17
2024,4,3,15
2024,4,4,16
2024,4,5,16
2024,4,6,16
2024,4,7,15
2024,4,8,15
2024,4,9,14
2024,4,10,16
2024,4,11,17
2024,4,12,17
2024,4,13,16
2024,4,14,16
2024,4,15,17
2024,4,16,18
2024,4,17,14
2024,4,18,15
2024,4,19,14
2024,4,20,18
2024,4,21,18
2024,4,22,14
2024,4,23,16
2024,4,24,18
2024,4,25,15
2024,4,26,18
2024,4,27,14
2024,4,28,15
2024,4,29,15
2024,4,30,14
2024,5,1,20
2024,5,2,17
2024,5,3,19
2024,5,4,21
2024,5,5,19
2024,5,6,20
2024,5,7,18
2024,5,8,17
2024,5,9,20
2024,5,10,20
2024,5,11,21
2024,5,12,21
2024,5,13,20
2024,5,14,18
2024,5,15,18
2024,5,16,18
2024,5,17,21
2024,5,18,17
2024,5,19,20
2024,5,20,21
2024,5,21,17
2024,5,22,18
2024,5,23,22
2024,5,24,17
2024,5,25,21
2024,5,26,19
2024,5,27,19
2024,5,28,19
2024,5,29,19
2024,5,30,19
2024,5,31,22
2024,6,1,25
2024,6,2,26
2024,6,3,24
2024,6,4,26
2024,6,5,22
2024,6,6,24
2024,6,7,23
2024,6,8,26
2024,6,9,22
2024,6,10,23
2024,6,11,24
2024,6,12,22
2024,6,13,26
2024,6,14,23
2024,6,15,23
2024,6,16,25
2024,6,17,22
2024,6,18,22
2024,6,19,25
2024,6,20,22
2024,6,21,26
2024,6,22,25
2024,6,23,22
2024,6,24,24
2024,6,25,26
2024,6,26,24
2024,6,27,26
2024,6,28,24
2024,6,29,23
2024,6,30,23
2024,7,1,26
2024,7,2,30
2024,7,3,27
2024,7,4,30
2024,7,5,29
2024,7,6,28
2024,7,7,30
2024,7,8,31
2024,7,9,26
2024,7,10,27
2024,7,11,31
2024,7,12,26
2024,7,13,30
2024,7,14,27
2024,7,15,30
2024,7,16,31
2024,7,17,31
2024,7,18,29
2024,7,19,26
2024,7,20,26
2024,7,21,31
2024,7,22,31
2024,7,23,26
2024,7,24,26
2024,7,25,28
2024,7,26,28
2024,7,27,29
2024,7,28,29
2024,7,29,25
2024,7,30,28
2024,7,31,25
2024,8,1,28
2024,8,2,34
2024,8,3,28
2024,8,4,31
2024,8,5,31
2024,8,6,28
2024,8,7,34
2024,8,8,31
2024,8,9,33
2024,8,10,33
2024,8,11,33
2024,8,12,32
2024,8,13,34
2024,8,14,28
2024,8,15,29
2024,8,16,33
2024,8,17,29
2024,8,18,33
2024,8,19,27
2024,8,20,31
2024,8,21,29
2024,8,22,31
2024,8,23,29
2024,8,24,28
2024,8,25,27
2024,8,26,33
2024,8,27,33
2024,8,28,30
2024,8,29,28
2024,8,30,28
2024,8,31,28
2024,9,1,26
2024,9,2,27
2024,9,3,26
2024,9,4,25
2024,9,5,27
2024,9,6,28
2024,9,7,30
2024,9,8,29
2024,9,9,29
2024,9,10,28
2024,9,11,28
2024,9,12,26
2024,9,13,26
2024,9,14,26
2024,9,15,25
2024,9,16,26
2024,9,17,28
2024,9,18,29
2024,9,19,29
2024,9,20,28
2024,9,21,26
2024,9,22,30
2024,9,23,29
2024,9,24,30
2024,9,25,26
2024,9,26,25
2024,9,27,30
2024,9,28,29
2024,9,29,26
2024,9,30,30
2024,10,1,17
2024,10,2,21
2024,10,3,21
2024,10,4,20
2024,10,5,21
2024,10,6,20
2024,10,7,19
2024,10,8,17
2024,10,9,18
2024,10,10,18
2024,10,11,18
2024,10,12,20
2024,10,13,17
2024,10,14,21
2024,10,15,18
2024,10,16,20
2024,10,17,19
2024,10,18,21
2024,10,19,18
2024,10,20,21
2024,10,21,18
2024,10,22,17
2024,10,23,22
2024,10,24,22
2024,10,25,20
2024,10,26,22
2024,10,27,21
2024,10,28,18
2024,10,29,20
2024,10,30,19
2024,10,31,17
2024,11,1,13
2024,11,2,13
2024,11,3,13
2024,11,4,15
2024,11,5,13
2024,11,6,13
2024,11,7,12
2024,11,8,13
2024,11,9,16
2024,11,10,14
2024,11,11,16
2024,11,12,12
2024,11,13,16
2024,11,14,12
2024,11,15,12
2024,11,16,16
2024,11,17,16
2024,11,18,16
2024,11,19,16
2024,11,20,13
2024,11,21,12
2024,11,22,14
2024,11,23,15
2024,11,24,12
2024,11,25,16
2024,11,26,12
2024,11,27,14
2024,11,28,16
2024,11,29,15
2024,11,30,13
2024,12,1,7
2024,12,2,7
2024,12,3,8
2024,12,4,10
2024,12,5,5
2024,12,6,8
2024,12,7,8
2024,12,8,10
2024,12,9,6
2024,12,10,6
2024,12,11,7
2024,12,12,10
2024,12,13,7
2024,12,14,6
2024,12,15,10
2024,12,16,8
2024,12,17,5
2024,12,18,8
2024,12,19,11
2024,12,20,7
2024,12,21,5
2024,12,22,8
2024,12,23,9
2024,12,24,6
2024,12,25,5
2024,12,26,11
2024,12,27,8
2024,12,28,9
2024,12,29,7
2024,12,30,10
2024,12,31,9
